Mission,Launch site / base (or coordinates),Destination station,Launch (UTC),Mission duration,Landing site (or coordinates),Rocket type,Source URL
STS-48,"Kennedy , LC-39A",,"September 12, 1991, 23:11:04 ( 1991-09-12UTC23:11:04Z ) UTC (7:11:04 pm EDT )","5 days, 8 hours, 27 minutes, 38 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-48
STS-51C,,,,,,,
STS-34,"Kennedy , LC-39B",,"October 18, 1989, 16:53:40 ( 1989-10-18UTC16:53:40Z ) UTC (12:53:40 pm EDT )","4 days, 23 hours, 39 minutes, 20 seconds","Edwards , Runway 23",,https://en.wikipedia.org/wiki/STS-34
STS-40,"Kennedy , LC-39B",,"June 5, 1991, 13:24:51 ( 1991-06-05UTC13:24:51Z ) UTC (9:24:51 am EDT )","9 days, 2 hours, 14 minutes, 20 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-40
STS-58,"Kennedy , LC-39B",,"October 18, 1993, 14:53:10 ( 1993-10-18UTC14:53:10Z ) UTC (10:53:10 am EDT )","14 days, 12 minutes, 32 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-58
STS-75,"Kennedy , LC-39B",,"22 February 1996, 20:18:00 ( 1996-02-22UTC20:18Z ) UTC","15 days, 17 hours, 40 minutes, 22 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-75
Spacelab-3,,,,,,,
spacelab-3,,,,,,,
STS-51G,,,,,,,
STS-61A,,,,,,,
STS-37,"Kennedy , LC-39B",,"April 5, 1991, 14:22:45 ( 1991-04-05UTC14:22:45Z ) UTC (9:22:45 am EST )","5 days, 23 hours, 32 minutes, 44 seconds","Edwards , Runway 33",,https://en.wikipedia.org/wiki/STS-37
STS-55,"Kennedy , LC-39A",,"April 26, 1993, 14:50:00 ( 1993-04-26UTC14:50Z ) UTC (10:50 am EDT )","9 days, 23 hours, 39 minutes, 59 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-55
